GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
read-ticket,com.qa.readTicket.persistance.domain,Tickets,0,54,0,0,0,20,0,10,0,10
read-ticket,com.qa.readTicket.exception,TicketNotFoundException,3,0,0,0,1,0,1,0,1,0
read-ticket,com.qa.readTicket.service,ReadService,0,22,0,0,0,7,0,3,0,3
read-ticket,com.qa.readTicket,ReadTicketApplication,5,3,0,0,2,1,1,1,1,1
read-ticket,com.qa.readTicket.rest.controller,ReadController,0,19,0,0,0,6,0,3,0,3
